,Date,User,Tweet,,,,,
0,2011-12-31 23:47:01+00:00,RakeshSethi1,How to control and even reverse diabetes? Natural Home Remedies & Diet for Diabetics... Please read more at http://t.co/AK5KxBq,,,,,
1,2011-12-31 21:24:52+00:00,HDYGDC,"How come I often hear that you can ""reverse"" diabetes but they also say there is no cure? What does this mean? http://t.co/nWtxMbk6",,,,,
2,2011-12-31 21:24:49+00:00,MattChandler8,"How come I often hear that you can ""reverse"" diabetes but they also say there is no cure? What does this mean? http://t.co/1n7Vgzn4",,,,,
3,2011-12-31 19:00:19+00:00,GscalpiRD_CDE,Do you have #pre-diabetes?  Learn how you can manage and possibly reverse pre-diabetes http://t.co/7KwyvNEX,,,,,
4,2011-12-31 17:54:05+00:00,JoanDiabetic,Reverse Diabetes Type 2- What Could you achieve Video http://t.co/I9Nc3RMn,,,,,
5,2011-12-31 16:08:58+00:00,cancersurviveit,Reverse Diabetes Type 2 naturally http://t.co/qPeM5o9j. Please send this on to anyone you know who is suffering or at risk,,,,,
6,2011-12-31 13:17:52+00:00,lzcandu,"Reverse Diabetes Type 2 naturally, I did. You can eat vegan diet, plus raw milk, pasture fed beef, chicken and eggs. Natural oils and sweets",,,,,
7,2011-12-31 13:13:57+00:00,lzcandu,"Reverse Diabetes Type 2 naturally, I did. If you eat foods that have not been contaminated your sensitivity to insulin will change.",,,,,
8,2011-12-31 13:11:00+00:00,lzcandu,"Reverse Diabetes Type 2 naturally, I did. Corp. America has contaminated our food to the point where it is making us sick.",,,,,
9,2011-12-31 13:08:31+00:00,lzcandu,"Reverse Diabetes Type 2 naturally, I did by changing my diet. No processed foods or meat from animals that ate it. Eat primal foods.",,,,,
10,2011-12-31 09:20:48+00:00,bobbimedwards,Healing Diabetes Naturally: Natural Cures Remedies| Natural Healing Without Drugs and Toxic ... Reverse Diabetes... http://t.co/jkLZ1BDY,,,,,
11,2011-12-31 09:15:04+00:00,CholesterolDana,"to reverse Diabetes and then get your health back: CHOLESTEROL, NOT THE BAD THING WE THINK IT IS http://t.co/OKToBJDB",,,,,
12,2011-12-31 08:30:51+00:00,Nathealings,"Reverse Diabetes in 30 days 
http://t.co/v8OR53xp",,,,,
13,2011-12-31 07:33:05+00:00,PhillipWylie,@ColeyOuellette I have type 2 diabetes and want to reverse it.,,,,,
14,2011-12-31 06:06:47+00:00,forhealthtoday,Type 2 Diabetes â€“ Reverse Your Diabetes Call 240 696 7669 http://t.co/74YA94OE,,,,,
15,2011-12-31 04:01:39+00:00,cancersurviveit,Reverse Diabetes Type 2 naturally http://t.co/P1FysY0e. Please send this on to anyone you know who is suffering or at risk.,,,,,
16,2011-12-31 03:49:11+00:00,Kushukatom,Reverse Type 2 Diabetes - It's Possible With Diet Choice http://t.co/DqhRQPbh,,,,,
17,2011-12-31 03:40:14+00:00,yrhealth_wealth,How You Can Reverse Type 2 Diabetes Naturally http://t.co/ceuErMWu,,,,,
18,2011-12-31 03:25:59+00:00,ronman201,"Reverse Diabetes with Super Nutrition,get Off the Dangerous Drugs.500 Recipes For Diabetics,Video Library, http://t.co/0qGg2e5p",,,,,
19,2011-12-31 03:20:42+00:00,RakeshSethi1,How to control and even reverse diabetes? Natural Home Remedies & Diet for Diabetics... Please follow at http://t.co/AK5KxBq,,,,,
20,2011-12-31 01:31:30+00:00,NorlightsPress,Beyond insulin: a promising new treatment may reverse juvenile diabetes. Read about the studies: http://t.co/OTztP4xO,,,,,
21,2011-12-31 01:19:09+00:00,ronman201,"Reverse Diabetes with Super Nutrition,get Off the Dangerous Drugs.500 Recipes For Diabetics,Video Library, http://t.co/Q3DBFAAs",,,,,
22,2011-12-31 00:45:36+00:00,RakeshSethi1,How to control and even reverse diabetes? Natural Home Remedies & Diet for Diabetics... Please read more at http://t.co/AK5KxBq,,,,,
23,2011-12-31 00:23:06+00:00,RakeshSethi1,How to control and even reverse diabetes? Natural Home Remedies & Diet for Diabetics... Please read more @ http://t.co/AK5KxBq,,,,,
24,2011-12-31 00:19:17+00:00,mailtomorley,Karinna's VERDE: A Low-Fat Vegan Diet Can Help Reverse ...: A Low-Fat Vegan Diet beneficial Inverted Diabetes No... http://t.co/Qw6pI5PG,,,,,
25,2011-12-31 00:02:24+00:00,InEmpWeightLoss,"Increases in diabetes, obesity may reverse progress against heart disease - American Medical News (12/30,... http://t.co/n5spirtC",,,,,
26,2011-12-30 23:15:34+00:00,DiabeticSandy,How To Increase Insulin Sensitivity And Reverse Diabetes-War Against Diabetes! http://t.co/0vs5oKAA,,,,,
27,2011-12-30 21:38:38+00:00,GoodbyeDiabetes,low-fat vegan diet can reverse diabetes... sign up for 21-Day Vegan Kick-Off with Dr. Neal Barnard of FoK starts Jan 2 http://t.co/UjWzGpU0,,,,,
28,2011-12-30 17:51:05+00:00,scottisaacsmd,Rising rates of #diabetes & #obesity could reverse the progress that has been made in improving the nation's health. http://t.co/3jLztxVt,,,,,
29,2011-12-30 16:30:43+00:00,DiabetesBuzz9,RT @RidzlanDol can a high diabetes count reverse itself? - [...] http://t.co/Ad9VuZ7H,,,,,
30,2011-12-30 16:29:50+00:00,RidzlanDol,can a high diabetes count reverse itself? - [...] http://t.co/43TaZCzk,,,,,
31,2011-12-30 16:29:49+00:00,RidzlanDol,can a high diabetes count reverse itself? - [...] http://t.co/cClIwHeI,,,,,
32,2011-12-30 16:29:48+00:00,RidzlanDol,can a high diabetes count reverse itself? - [...] http://t.co/8vBekaZU,,,,,
33,2011-12-30 16:29:36+00:00,RidzlanDol,can a high diabetes count reverse itself? - [...] http://t.co/qVXHWQRl,,,,,
34,2011-12-30 16:29:09+00:00,RidzlanDol,can a high diabetes count reverse itself? - [...] http://t.co/XK0n4IlO,,,,,
35,2011-12-30 16:29:06+00:00,RidzlanDol,can a high diabetes count reverse itself? - [...] http://t.co/nF7WWunW,,,,,
36,2011-12-30 16:02:09+00:00,cancersurviveit,Reverse Diabetes Type 1 naturally http://t.co/DtVjJlsI Please send this on to anyone you know who is suffering or at risk.,,,,,
37,2011-12-30 15:31:10+00:00,gaur20032002,Reverse Diabetes http://t.co/dLH8T2iq,,,,,
38,2011-12-30 14:49:29+00:00,Diabetes32,Type 2 Diabetes Diet With Healthy Food Plan Can Reverse Diabetes http://t.co/9j54iwy7,,,,,
39,2011-12-30 13:44:29+00:00,Diabetes32,Type 2 Diabetes Diet With Healthy Food Plan Can Reverse Diabetes http://t.co/13ulMWfr,,,,,
40,2011-12-30 12:24:55+00:00,EdithieLee,A new study shows that Americans with Type 2 diabetes can completely reverse the disease by eating healthy foods.,,,,,
41,2011-12-30 12:00:01+00:00,dietadvice1,Researchers have determined that a ketogenic diet may reverse impaired kidney function in people with Type 1 and 2 diabetes,,,,,
42,2011-12-30 11:48:45+00:00,FitnesswithTeri,How You Can Reverse Type 2 Diabetes Naturally: While new research has clinically proven it is possible to cure t... http://t.co/UM3yKE3w,,,,,
43,2011-12-30 11:29:48+00:00,Diabetes32,Type 2 Diabetes Diet With Healthy Food Plan Can Reverse Diabetes http://t.co/eOffh1m1,,,,,
44,2011-12-30 11:27:22+00:00,diabetesbridge,How You Can Reverse Type 2 Diabetes Naturally: While new research has clinically proven it is possible to cure t... http://t.co/RA3lyMMb,,,,,
45,2011-12-30 10:43:49+00:00,CholesterolDana,Karinna\&#8217,s VERDE: A Low-Fat Vegan Diet Can Help Reverse Diabetes http://t.co/pXSFLxa3,,,,
46,2011-12-30 10:43:20+00:00,Diabetes32,Type 2 Diabetes Diet With Healthy Food Plan Can Reverse Diabetes http://t.co/l8qsy55I,,,,,
47,2011-12-30 06:15:10+00:00,Kenneth_Little,How to reverse your type 2 diabetes http://t.co/u9CXs4ST,,,,,
48,2011-12-30 05:26:37+00:00,Diabetes32,Type 2 Diabetes Diet With Healthy Food Plan Can Reverse Diabetes http://t.co/9j54iwy7,,,,,
49,2011-12-30 05:04:10+00:00,waltd43,"Reverse Diabetes Breakthrough: How To Defeat Diabetes
Take Back Your Life And Health http://t.co/FCLoLNWt",,,,,
50,2011-12-30 04:42:41+00:00,Nathealings,"Reverse Diabetes in 30 days 
http://t.co/v8OR53xp",,,,,
51,2011-12-30 03:51:41+00:00,RakeshSethi1,How to control and even reverse diabetes? Natural Home Remedies & Diet for Diabetics... Please follow at http://t.co/AK5KxBq,,,,,
52,2011-12-30 01:21:51+00:00,RakeshSethi1,How to control and even reverse diabetes? Natural Home Remedies & Diet for Diabetics... Please read more at http://t.co/AK5KxBq,,,,,
53,2011-12-30 00:59:34+00:00,RakeshSethi1,How to control and even reverse diabetes? Natural Home Remedies & Diet for Diabetics... Please read more @ http://t.co/AK5KxBq,,,,,
54,2011-12-29 23:54:04+00:00,Passion2Publish,Type 1 diabetes: A simple vaccine already on the market may reverse this incurable disease: http://t.co/iWYxjlRQ,,,,,
55,2011-12-29 23:54:03+00:00,Passion4Words,Type 1 diabetes: A simple vaccine already on the market may reverse this incurable disease: http://t.co/MCO596LX,,,,,
56,2011-12-29 22:01:01+00:00,Tips4diets,Type 2 Diabetes Diet With Healthy Food Plan Can Reverse Diabetes http://t.co/rXTGExMr,,,,,
57,2011-12-29 19:58:23+00:00,cheranae,How to Reverse Type 2 Diabetes â€“ Diabetes treatment & cure ...: ... level of symptom relief by trying different ... http://t.co/89fBKsHg,,,,,
58,2011-12-29 19:17:19+00:00,diabetrelief,How to Reverse Type 2 Diabetes â€“ Diabetes treatment & cure ...: ... level of symptom relief by trying different ... http://t.co/Mpbco8q0,,,,,
59,2011-12-29 19:00:22+00:00,GscalpiRD_CDE,Do you have #pre-diabetes?  Learn how you can manage and possibly reverse pre-diabetes http://t.co/yB1kfCtA,,,,,
60,2011-12-29 18:54:14+00:00,AngieHarington,How to Reverse Type 2 Diabetes â€“ Diabetes treatment & cure ...: ... level of symptom relief by trying different ... http://t.co/4A1H6OiF,,,,,
61,2011-12-29 16:38:34+00:00,diabetes_,Dr. Andrew Advani receives Diabetes Innovation Award: His research focus is to slow and potentially reverse kidn... http://t.co/xZZ0f4SN,,,,,
62,2011-12-29 15:32:45+00:00,NorlightsPress,Type 1 diabetes: A simple vaccine already on the market may reverse this incurable disease: http://t.co/OTztP4xO,,,,,
63,2011-12-29 14:37:39+00:00,Type2Treatment,"Outsmart Diabetes 1-2-3: A 3-Step Plan to Balance Sugar, Lose Weight, and Reverse Diabetes Complic http://t.co/fMxjPYxc",,,,,
64,2011-12-29 13:51:51+00:00,Passion4Words,Beyond insulin: a promising new treatment may reverse juvenile diabetes. Read about the studies: http://t.co/MCO596LX,,,,,
65,2011-12-29 12:28:21+00:00,michaelhutch66,"Diabetes Diet - Diabetes cannot be reversed, but you can reverse high blood sugar in... http://t.co/OIzgs3MA",,,,,
66,2011-12-29 09:35:56+00:00,DiabeticSandy,Is It Possible to Reverse Your Diabetes? http://t.co/93GoKDgS,,,,,
67,2011-12-29 09:15:12+00:00,Diabetes2_Cure,@DrChrisSteele only a few days to plan a #newyearsdiet to reverse #type2 diabetes - please RT - http://t.co/zO7P5DHv,,,,,
