,Date,User,Tweet
0,2017-12-31 23:24:26+00:00,musicmoonk,Crash diet found to REVERSE Type 2 diabetes in three months https://t.co/jiIaiuTkwB
1,2017-12-31 23:17:29+00:00,carter_shaneika,No diabetes in June i give myself 6 months to reverse thisðŸ¤žðŸ¾ðŸ¤žðŸ¾ðŸ¤žðŸ¾
2,2017-12-31 22:51:08+00:00,Robert1988UK,"since theres just over an hour left of 2017 time for new years resolutions. Main one I can think of is just to continue losing weight and hopefully I can reverse my diabetes.
Going to start going to a gym now. My new job gives me a discount with one right next to it"
3,2017-12-31 22:19:17+00:00,DiabetesTipline,"Have you received your free Diabetes Reverse e-book?
https://t.co/f5LsXDrtLp
#diabetescure #healthtip"
4,2017-12-31 22:05:08+00:00,diabetescure69,#reversediabetes â™¥ https://t.co/mJWDZodL3x â™¥ Opinion: Study on new Type 2 diabetes patients is encouraging - Montreal Gazette
5,2017-12-31 21:04:15+00:00,marguerite3636d,#reversediabetes now âž¤ https://t.co/PDEsqoaou8 â™¥ Things that Mimic High and Low Blood Sugar Symptoms â™¥ #diabetes #diabetescure One of the reasons checking blood sugar is so important before a treatment decision is that youâ€™ll have confidence in your treatment decision and bâ€¦
6,2017-12-31 21:04:08+00:00,karenlevie4,#reversediabetes naturally âž¤ https://t.co/6ObUzEdHFz â™  Things that Mimic High and Low Blood Sugar Symptoms â™  #diabetes #diabetescure One of the reasons checking blood sugar is so important before a treatment decision is that youâ€™ll have confidence in your treatment decisionâ€¦
7,2017-12-31 21:03:14+00:00,RacheleHanani,#reversediabetes now âž¤ https://t.co/cilq5fVGMq â™¥ Things that Mimic High and Low Blood Sugar Symptoms â™¥ #diabetes #diabetescure One of the reasons checking blood sugar is so important before a treatment decision is that youâ€™ll have confidence in your treatment decision and bâ€¦
8,2017-12-31 21:01:35+00:00,chelseanaismit2,#reversediabetes now âž¤ https://t.co/SKOSQjSUNa â™¥ Things that Mimic High and Low Blood Sugar Symptoms â™¥ #diabetes #diabetescure One of the reasons checking blood sugar is so important before a treatment decision is that youâ€™ll have confidence in your treatment decision and bâ€¦
9,2017-12-31 20:12:17+00:00,jahiddle37,"Calorie restriction found to reverse type 2 diabetes, new study shows https://t.co/QdvYTeBarC"
10,2017-12-31 19:34:52+00:00,TraceyBPH,Great day to make #LCHF nog! #Keto #reversediabetes #reversecognitivedecline https://t.co/xow75UNdFO
11,2017-12-31 19:05:53+00:00,churchfashionou,Try this tto reverse Type 2 Diabetes. Im maintainig 85-120  from 210 https://t.co/iCpmBE0Kuu
12,2017-12-31 18:35:07+00:00,KidneyMI,DYK? Losing just 5%-7% of body weight can slow or even reverse prediabetes. Make it your New Year's resolution to join our Diabetes Prevention Program! Visit: https://t.co/CV8ePd7UeM https://t.co/OSKC0d2bRn
13,2017-12-31 18:26:32+00:00,DanielAshley13,"#Fake2017Facts Doctors began recommended high-gluten, high sugar diets as a way to reverse diabetes"
14,2017-12-31 18:19:13+00:00,dmi_trader,"@MikeBellafiore Whole food plant based diet is the way to go, only diet that can prevent and in some cases reverse heart disease, diabetes and certain cancers. #Govegan"
15,2017-12-31 17:11:23+00:00,tanyaspencer113,#reversediabetes now âž¤ https://t.co/9PTc6qwLem â™¥ Jane Phillips Medical Center: Diabetes prevention program offered - Examiner Enterprise â™¥ #diabetes #diabetescure
16,2017-12-31 17:09:21+00:00,marguerite3636d,#reversediabetes now âž¤ https://t.co/PDEsqoaou8 â™¥ Instant Pot Bone Broth in Pressure Cooker â™¥ #diabetes #diabetescure An easy Instant Pot bone broth recipe using the pressure cooker setting to speed up the cooking time. It takes only a few hours instead of a whole day. Iâ€™m sâ€¦
